query (Name + Affiliation)	Author	Documents	h.index	Affiliation	City	Country.Territory
Parini, A#Universite de Rouen Normandie	NA	NA	NA	NA	NA	NA
Mohammadi, M J#Kurdistan University of Medical Sciences	NA	NA	NA	NA	NA	NA
Ghosh, A K#Feinberg School of Medicine	Ghosh, Asish K.	66	35	Northwestern University Feinberg School of Medicine	Chicago	United States
Smadja, D M#Hopital Universitaire Europeen Georges-Pompidou - APHP	Smadja, David M.	212	42	UniversitÃ© Paris CitÃ©	Paris	France
Gurzu, S#George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures	Gurzu, Simona	146	19	Academia RomÃ¢na	Bucharest	Romania
Jha, A K#	Jha, Animesh K.	419	44	University of Leeds	Leeds	United Kingdom
Knight, J S#University of Michigan	Knight, Jason S.	81	28	University of Michigan, Ann Arbor	Ann Arbor	United States
Kiess, W#Leipzig University	Kiess, Wieland	971	84	UniversitÃ¤tsklinikum Leipzig und Medizinische FakultÃ¤t	Leipzig	Germany
Rhee, D K#Sungkyunkwan University	Rhee, DongKwon	151	35	Sungkyunkwan University	Seoul	South Korea
Matalon, S#Saint Louis University	Matalon, Sadis V.	325	63	The University of Alabama at Birmingham	Birmingham	United States
Laohachai, K#University of Sydney	Laohachai, Karina	7	4	Women's and Children's Hospital Adelaide	Adelaide	Australia
Launay, D#CHU Lille	Launay, David	415	60	UniversitÃ© de Lille	Lille	France
Yang, Y H#Capital Medical University	Yang, Yonghong	272	38	Beijing Children's Hospital, Capital Medical University	Beijing	China
Liedl, G#Azienda Ospedaliero Universitaria Careggi	Liedl, Giovanni	3	3	Azienda Ospedaliera Careggi	Florence	Italy
Lam, S#Baylor College of Medicine	Lam, Stephen C.T.	442	80	British Columbia Cancer Agency, Department of Integrative Oncology	Vancouver	Canada
Singh, H S#Weill Cornell Medicine	Singh, Harsimran Sachdeva	72	19	New York Presbyterian Hospital	New York	United States
Lovvorn, H N#Vanderbilt University	Lovvorn, Harold Newt	117	24	Vanderbilt University Medical Center	Nashville	United States
Sleilaty, G#	Sleilaty, Ghassan S.	150	23	HÃ´tel-Dieu de France Hospital	Beirut	Lebanon
Mavrogeni, S I#Azienda Ospedaliero Universitaria Careggi	NA	NA	NA	NA	NA	NA
Miglioranza, M H#Universidade Federal do Rio Grande do Sul	Miglioranza, Marcelo Haertel	54	20	Universidade Federal de Ciencias da SaÃºde de Porto Alegre	Porto Alegre	Brazil
Tavangar, S M#Tehran University of Medical Sciences	Tavangar, Seyed Mohammad	237	36	Tehran University of Medical Sciences	Tehran	Iran
Johnson, J N#Mayo Clinic	Johnson, Jonathan N.	147	36	Mayo Clinic	Rochester	United States
Khaper, N#NOSM University	Khaper, Neelam	85	32	Ãcole de mÃ©decine du Nord de l'Ontario	Sudbury	Canada
Valentini, G#University of Naples Federico II	Valentini, Gabriele	274	64	UniversitÃ  degli Studi della Campania Luigi Vanvitelli	Naples	Italy
Riemekasten, G#University of Lubeck	Riemekasten, Gabriela	392	73	UniversitÃ¤tsklinikum Schleswig-Holstein Campus LÃ¼beck	Lubeck	Germany
Jennings, D L#Columbia University	Jennings, Danna L.	114	50	Invicro	New Haven	United States
Marcus, M W#University of Liverpool	Marcus, Michael Williams	39	20	University of Liverpool	Liverpool	United Kingdom
Baughman, R P#University of Cincinnati	Baughman, Robert Phillip	519	91	University of Cincinnati Medical Center	Cincinnati	United States
Stabbert, R#Philip Morris International Inc	NA	NA	NA	NA	NA	NA
Hill, G D#Children's Hospital of Wisconsin	Hill, Garick D.	57	19	Cincinnati Children's Hospital Medical Center	Cincinnati	United States
Szczepanska-Sadowska, E#Medical University of Warsaw	SzczepaÅska-Sadowska, Ewa W.A.	143	25	Medical University of Warsaw	Warsaw	Poland
Vandecasteele, T#Ghent University	Vandecasteele, Tim	17	9	Universiteit Gent	Ghent	Belgium
Lara-Pezzi, E#Imperial College London	Lara-Pezzi, Enrique A.	108	40	Centro Nacional de Investigaciones Cardiovasculares Carlos III	Madrid	Spain
Wang, D X#Peking University	Deng, Xingwang	396	116	Peking University	Beijing	China
Li, T Q#Fudan University	Li, Tianqi	10	5	Fudan University	Shanghai	China
Wolff, D#Erasmus MC	Wolff, Eric D.	54	23	Erasmus MC Sophia Children's Hospital	Rotterdam	Netherlands
Punturieri, A#Johns Hopkins University	NA	NA	NA	NA	NA	NA
Wu, S#Jinan University	Wu, Chuansong	528	48	Shandong University	Jinan	China
Johnson, J A#University of Alberta	Johnson, Jeffrey A.	430	78	University of Alberta	Edmonton	Canada
Vos, R#KU Leuven	Vos, Robin	282	43	KU Leuvenâ University Hospital Leuven	Leuven	Belgium
Wu, S J#Central South University	Wu, Jingshui	464	65	Institute of Subtropical Agriculture Chinese Academy of Sciences	Changsha	China
Su, J J#Aarhus University	Su, Xiujuan	35	12	Tongji University School of Medicine	Shanghai	China
Gu, W#Nanjing Medical University	Gu, Zhongwei	425	67	West China School of Medicine/West China Hospital of Sichuan University	Chengdu	China
Abdulhadi, B#	Abdulhadi, Bareq A.	9	8	Liverpool John Moores University	Liverpool	United Kingdom
Kapur, N K#Cardiovascular Research Foundation	NA	NA	NA	NA	NA	NA
Konstam, M A#Tufts Medical Center	Konstam, Marvin A.	255	76	Tufts University	Medford	United States
Shan, Q J#Nanjing Medical University	Shan, Qijun	88	16	Jiangsu Province Hospital	Nanjing	China
Terry, J R#University of Exeter	Terry, John R.	76	33	University of Birmingham	Birmingham	United Kingdom
Adler, D#Li Ka Shing Knowledge Institute	NA	NA	NA	NA	NA	NA
Attias, J#King's College London	Attias, Julia	9	5	King's College London	London	United Kingdom
Yamada, H#Tokushima University	Yamada, Hirotsugu	280	44	Tokushima University	Tokushima	Japan
Merkus, D#Erasmus MC	Merkus, Daphne	176	33	Erasmus MC	Rotterdam	Netherlands
Wearing, O H#University of North Texas Denton	NA	NA	NA	NA	NA	NA
Cheng, J Y#Stanford University	Cheng, Yuh Jen	102	15	Academia Sinica, Research Center for Applied Sciences	Taipei	Taiwan
Yang, Y J#Peking Union Medical College	Yang, Yuejin	574	45	Fuwai Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College	Beijing	China
Pagnamenta, A#University of Geneva	Pagnamenta, Alberto	50	14	HÃ´pitaux Universitaires de GenÃ¨ve	Geneva	Switzerland
Wunderink, R G#University of Western Australia	Wunderink, Richard G.	405	82	Northwestern University Feinberg School of Medicine	Chicago	United States
Lin, W S#National Defense Medical Center	Lin, Wei Shiang	116	28	Triservice General Hospital Taiwan	Taipei	Taiwan
Thomas, M#Newcastle University - UK	NA	NA	NA	NA	NA	NA
Akagi, S#Okayama University	Akagi, Satoshi	81	21	Graduate School of Medicine, Dentistry and Pharmaceutical Sciences	Okayama	Japan
Akagi, S#Okayama University	Akagi, Satoshi	81	21	Graduate School of Medicine, Dentistry and Pharmaceutical Sciences	Okayama	Japan
Al-Shamrani, A#King Fahad Medical City	Al-Shamrani, Abdullah S.	26	5	Alfaisal University	Riyadh	Saudi Arabia
Jennette, J C#University of North Carolina Chapel Hill	Jennette, John Charles	352	95	The University of North Carolina at Chapel Hill	Chapel Hill	United States
Balczon, R#Medical College of Wisconsin	Balczon, Ron D.	66	30	University of South Alabama	Mobile	United States
Joshi, J M#Topiwala National Medical College & B Y L Nair Charitable Hospital	Joshi, Jyotsana Madanmohan	210	16	BYL Nair Charitable Hospital & TN Medical College	Mumbai	India
Bargagli, E#Azienda Ospedaliero Universitaria Careggi	Bargagli, Elena	307	43	Azienda Ospedaliera Universitaria Senese	Siena	Italy
Bertoletti, L#CHU de St Etienne	Bertoletti, Laurent	311	39	Centre Hospitalier Universitaire de Saint Etienne	Saint-Etienne	France
Biffi, S#IRCCS Ca Granda Ospedale Maggiore Policlinico	NA	NA	NA	NA	NA	NA
Bogaard, H J#VU UNIVERSITY MEDICAL CENTER	Bogaard, H. J.	342	64	Amsterdam UMC - Vrije Universiteit Amsterdam	Amsterdam	Netherlands
Burgstaller, G#University of Colorado Denver	NA	NA	NA	NA	NA	NA
Mallory, G B#Baylor College of Medicine	Mallory, George B.	148	40	Texas Children's Hospital	Houston	United States
de los Reyes, A A#University of Graz	NA	NA	NA	NA	NA	NA
Vachiéry, J L#University of Milano-Bicocca	NA	NA	NA	NA	NA	NA
Ginde, S#Medical College of Wisconsin	Ginde, Salil	66	18	Children's Hospital of Wisconsin Wauwatosa	Wauwatosa	United States
Cooper, D K C#University of Maryland Baltimore	Cooper, David K.C.	560	66	Harvard Medical School	Boston	United States
Vollmer, I#Hospital Clinic de Barcelona	Vollmer, IvÃ¡n	66	16	Hospital Clinic Barcelona	Barcelona	Spain
Dias, S#Autonomous University of Barcelona	Dias, Sara	9	4	Kansas State University	Manhattan	United States
Walker, J M#University of Wisconsin Madison	Walker, Joseph M.	25	24	University of Wisconsin-Madison	Madison	United States
Godoy, M C B#UTMD Anderson Cancer Center	NA	NA	NA	NA	NA	NA
Yeh, C B#Chung Shan Medical University Hospital	Yeh, Chao Bin	96	19	Chung Shan Medical University	Taichung	Taiwan
Wagener, B M#University of Alabama Birmingham	Wagener, Brant M.	48	18	The University of Alabama at Birmingham	Birmingham	United States
Dey, S#Indian Institute of Technology	Sarker, Satyajit Dey	453	52	Liverpool John Moores University	Liverpool	United Kingdom
Kagaya, Y#Tohoku University	Kagaya, Yutaka	127	35	Graduate School of Medicine	Sendai	Japan
Kameny, R J#University of California San Francisco	Kameny, Rebecca Johnson	16	11	School of Medicine	Aurora	United States
Khazanie, P#NIH National Heart Lung & Blood Institute	NA	NA	NA	NA	NA	NA
Kimura, B J#	Kimura, Bruce J.	62	24	Scripps Mercy Hospital	San Diego	United States
Koman, P D#University of Michigan	Koman, Patricia D.	16	8	University of Michigan School of Public Health	Ann Arbor	United States
Lange, N#University of Bern	Lange, Naomi Franziska	16	8	University Hospital Bern	Bern	Switzerland
Trojanowska, M#Childrens Hospital of Philadelphia	NA	NA	NA	NA	NA	NA
Malekzadeh, S#University of Geneva	Malekzadeh, Sonaz	11	6	Hopital Cantonal de Fribourg	Villars-sur-Glane	Switzerland
Apostolo, A#Technical University of Munich	NA	NA	NA	NA	NA	NA
Ibancovichi, J A#Universidad Autonoma de Yucatan	Ibancovichi-Camarillo, JosÃ© Antonio	17	10	Universidad AutÃ³noma del Estado de MÃ©xico	Toluca	Mexico
Olschewski, A#Medical University of Graz	Olschewski, Andrea	156	46	Ludwig Boltzmann Institute	Vienna	Austria
Azam, H#	Hossain, Md Azam	24	5	Islamic University of Technology	Gazipur	Bangladesh
Olschewski, H#Ludwig Boltzmann Institute	Olschewski, Horst	390	78	Medizinische UniversitÃ¤t Graz	Graz	Austria
Palermo, P#Istituti Clinici Scientifici Maugeri IRCCS	NA	NA	NA	NA	NA	NA
Pamukcu, O#Erciyes University	PamukÃ§u, Ãzge	68	12	Erciyes University, Faculty of Medicine	Kayseri	Turkey
Agostoni, P#University of Milan	Agostoni, Piergiuseppe	512	63	UniversitÃ  degli Studi di Milano	Milan	Italy
Parrott, G#University of the Ryukyus	Parrott, Gretchen Lynn	18	9	Graduate School of Medicine	Nishihara	Japan
Price, S#University of Basel	NA	NA	NA	NA	NA	NA
Isenberg, J S#University of Pittsburgh	Isenberg, Jeffrey Scott S.	166	48	University of Pittsburgh	Pittsburgh	United States
Paulin, R#Laval University	Paulin, Roxane	65	35	Institut universitaire de cardiologie et de pneumologie de QuÃ©bec - UniversitÃ© Laval	Quebec	Canada
Sejben, I#Szeged University	NA	NA	NA	NA	NA	NA
Steenbruggen, I#Medical Spectrum Twente	NA	NA	NA	NA	NA	NA
Sugimoto, K#Fukushima Medical University	Sugimoto, Koichi	208	36	Fukushima Medical University	Fukushima	Japan
Suursalmi, P#Paijat Hame Central Hospital	NA	NA	NA	NA	NA	NA
Maniwa, Y#Kobe University	Maniwa, Yoshimasa	168	28	Graduate School of Medicine	Kobe	Japan
Trammell, A W#Vanderbilt University	Trammell, Aaron W.	16	7	Emory University School of Medicine	Atlanta	United States
Nagendran, J#University of Alberta	Nagendran, Jayan	114	26	University of Alberta, Faculty of Medicine and Dentistry	Edmonton	Canada
Walton, R A L#University of Minnesota Twin Cities	NA	NA	NA	NA	NA	NA
Connor, D M#San Francisco VA Medical Center	Connor, Denise M.	20	9	UCSF School of Medicine	San Francisco	United States
Awasthi, S#King George's Medical University	Awasthi, Shally K.	283	40	NA	NA	NA
Yaghouby, F#US Food & Drug Administration	Yaghouby, Farid	25	9	University of Kentucky	Lexington	United States
Zavorsky, G S#Georgia State University	Zavorsky, Gerald Stanley	115	25	University of California, Davis	Davis	United States
Zavorsky, G S#Spaarne Hospital	NA	NA	NA	NA	NA	NA
Zochios, V#University of Calgary	NA	NA	NA	NA	NA	NA
Zubairi, A B S#Aga Khan University	Zubairi, Ali Bin Sarwar	68	11	The Aga Khan University	Karachi	Pakistan
Gianni, C#Saint David's Medical Center	Gianni, Carola	156	31	Texas Cardiac Arrhythmia Institute	Austin	United States
Stoeger, T#Helmholtz-Center Munich - German Research Center for Environmental Health	Stoeger, Tobias	133	38	Helmholtz Center Munich German Research Center for Environmental Health	Oberschleissheim	Germany
Wang, E A#Drexel University	NA	NA	NA	NA	NA	NA
Li, C S#Qingdao University	Li, Shucai	1111	60	Shandong University	Jinan	China
Monnet, X#Hopital Universitaire Bicetre - APHP	Monnet, Xavier	295	64	Hypertension ArtÃ©rielle Pulmonaire : Physiopathologie et Innovation ThÃ©rapeutique	Le Plessis-Robinson	France
Ayas, N T#Johns Hopkins University	NA	NA	NA	NA	NA	NA
Xiao, L#NIH National Heart Lung & Blood Institute	Xiao, Lei	27	20	University of Illinois at Chicago	Chicago	United States
Bignami, E#University of Naples Federico II	NA	NA	NA	NA	NA	NA
Jordt, S E#Yale University	Jordt, Sven Eric	78	38	Duke University School of Medicine	Durham	United States
Monk, D#Hospital of Santa Creu i Sant Pau	NA	NA	NA	NA	NA	NA
Baliatsas, C#Utrecht University	Baliatsas, Christos	37	15	Nederlands Instituut voor Onderzoek van de Gezondheidszorg	Utrecht	Netherlands
Freed, B H#Northwestern Memorial Hospital	Freed, Benjamin Howard	77	24	Northwestern University Feinberg School of Medicine	Chicago	United States
Vogel, U#Technical University of Denmark	Vogel, Ulla Birgitte	421	73	Det Nationale Forskningscenter for ArbejdsmiljÃ¸	Copenhagen	Denmark
Berthelot, E#Hopital Universitaire Antoine-Beclere - APHP	NA	NA	NA	NA	NA	NA
Essandoh, M#Ohio State University	Essandoh, Michael K.	185	16	The Ohio State University Wexner Medical Center	Columbus	United States
Cantinotti, M#King's College London	Cantinotti, Massimiliano	136	24	Cardiology Unit	Massa	Italy
Kim, Y B#Yonsei University Health System	Kim, Beom-kyung	280	40	Severance Hospital	Seoul	South Korea
Chopard, R#CHU Besancon	Chopard, Romain	78	22	UniversitÃ© de Franche-ComtÃ©	Besancon	France
Conklin, D J#University of Louisville	Conklin, Daniel J.	158	43	University of Louisville	Louisville	United States
Cottini, M#Azienda Ospedaliera San Camillo-Forlanini	Cottini, Marzia	21	10	ASST Fatebenefratelli Sacco	Milan	Italy
Bundrick, J B#Mayo Clinic	Bundrick, John B.	60	9	Mayo Clinic	Rochester	United States
Dias, S#Autonomous University of Barcelona	Dias, Sara	9	4	Kansas State University	Manhattan	United States
Waxman, A B#Brigham & Women's Hospital	Waxman, Aaron B.	166	47	Brigham and Women's Hospital	Boston	United States
Filogonio, R#Universidade Federal de Sao Carlos	Filogonio, Renato	29	10	Universidade Federal de SÃ£o Carlos	Sao Carlos	Brazil
Givertz, M M#Mayo Clinic	NA	NA	NA	NA	NA	NA
Adatia, I#Stollery Children's Hospital	Adatia, Ian T.	148	47	University of Alberta	Edmonton	Canada
Heeger, C H#Asklepios Klinik St. Georg	Heeger, Christian Hendrik	162	28	Deutsches Zentrum fÃ¼r Herz-Kreislauf-Forschung e. V.	Berlin	Germany
Huang, G Y#Fudan University	Huang, Guoying	287	39	Childrenâs Hospital of Fudan University	Shanghai	China
Okada, M#Kitasato University	Okada, Hiroyuki M.	410	64	Institute of Advanced Energy	Uji	Japan
Kanzaki, R#Osaka University	Kanzaki, Ryu	78	15	Osaka International Cancer Institute	Osaka	Japan
Klop, B#Albert Schweitzer Ziekenhuis	Klop, Boudewijn	45	17	Departement Cardiovasculaire Wetenschappen	Leuven	Belgium
Lagana, M M#North West University - South Africa	NA	NA	NA	NA	NA	NA
Kumar, S#University of California Davis	Dinesh-Kumar, Savithramma P.	148	60	University of California, Davis	Davis	United States
Layoun, M E#Ronald Reagan UCLA Medical Center	Layoun, Michael E.	12	6	Providence St. Joseph Health	Portland	United States
Lemes, C#Asklepios Klinik St. Georg	LemeÅ¡, Christine	87	28	Asklepios Klinik St. Georg	Hamburg	Germany
McDermott, M M#University of Vermont	NA	NA	NA	NA	NA	NA
O'Halloran, K D#University College Cork	O'Halloran, Ken D.	224	23	University College Cork	Cork	Ireland
Deshpande, S B#Banaras Hindu University	Deshpande, Shripad Bheemrao	116	19	Apollo Institute of Medical Sciences and Research	Chittoor	India
Hippenstiel, S#Charite Universitatsmedizin Berlin	Hippenstiel, Stefan	178	57	Freie UniversitÃ¤t Berlin	Berlin	Germany
Rambaud, J#Hopital Universitaire Robert-Debre - APHP	Rambaud, Jean Claude L.	350	58	HÃ´pital Lariboisiere AP-HP	Paris	France
Reissmann, B#Asklepios Klinik St. Georg	ReiÃmann, Bruno	109	24	Deutsches Zentrum fÃ¼r Herz-Kreislauf-Forschung e. V.	Berlin	Germany
Givertz, M M#Westchester Medical Center	NA	NA	NA	NA	NA	NA
Stricker, B H#Erasmus MC	Stricker, Bruno H.Ch	958	116	Erasmus MC	Rotterdam	Netherlands
Turquetto, A L R#Universidade de Sao Paulo	Ribeiro Turquetto, Aida Luiza	23	9	Universidade de SÃ£o Paulo	Sao Paulo	Brazil
Vonk-Noordegraaf, A#VU UNIVERSITY MEDICAL CENTER	Vonk Noordegraaf, Anton	452	87	Amsterdam UMC - Vrije Universiteit Amsterdam	Amsterdam	Netherlands
Violi, F#Ottawa Hospital Research Institute	NA	NA	NA	NA	NA	NA
Wang, X P#Jilin University	Wang, Xiaoping	59	8	University of Shanghai for Science and Technology	Shanghai	China
Wheeler, M T#Stanford University	Wheeler, Thomas M.	349	105	The George Washington University School of Medicine and Health Sciences	Washington, D.C.	United States
Yang, S N#I Shou University	Yang, Sannan	141	32	I-Shou University	Kaohsiung	Taiwan
Zanobetti, M#Azienda Ospedaliero Universitaria Careggi	Zanobetti, Maurizio	41	16	Azienda Ospedaliera Careggi	Florence	Italy
Bissell, M M#University of Oxford	Bissell, Malenka M.	44	19	University of Leeds, School of Medicine	Leeds	United Kingdom
Inata, Y#	Inata, Yu	36	9	Osaka Women's and Children's Hospital	Izumi	Japan
Arrigo, M#University Zurich Hospital	Arrigo, Mattia	90	24	Stadtspital Triemli	Zurich	Switzerland
Diana, A#University of Bologna	Diana, Alessia	98	18	Alma Mater Studiorum UniversitÃ  di Bologna	Bologna	Italy
Hansmann, G#Hannover Medical School	Hansmann, Georg	196	38	Hannover Medical School	Hannover	Germany
Leening, M J G#Erasmus MC	Leening, Maarten J.G.	86	32	Erasmus MC	Rotterdam	Netherlands
Coats, A J S#Monash University	Coats, Andrew J.S.	935	139	University of Warwick	Coventry	United Kingdom
Kahnert, K#University of Munich	Kahnert, Kathrin	83	14	Klinikum der UniversitÃ¤t MÃ¼nchen	Munich	Germany
Li, C S#Capital Medical University	Li, Chunsheng	466	29	Beijing Chao-Yang Hospital, Capital Medical University	Beijing	China
Suzuki, Y J#Fudan University	NA	NA	NA	NA	NA	NA
Schermuly, R#Bayer AG	NA	NA	NA	NA	NA	NA
Hansmann, G#Semmelweis University	NA	NA	NA	NA	NA	NA
Duiverman, M L#University of Freiburg	NA	NA	NA	NA	NA	NA
Barr, R G#Columbia University	Barr, RGraham	442	89	Columbia University Irving Medical Center	New York	United States
Abraham, W T#Ohio State University	Abraham, William T.	639	119	The Ohio State University	Columbus	United States
Gunther, W M#Eastern Virginia Medical School	NA	NA	NA	NA	NA	NA
Agabiti, N#IRCCS Policlinico Gemelli	Agabiti, Nera	199	39	Department of Epidemiology Lazio Regional Health Service	Rome	Italy
Durward, A#Queen Mary University London	NA	NA	NA	NA	NA	NA
Bahrami, H#University of Southern California	Bahrami, Hossein	49	26	Keck School of Medicine of USC	Los Angeles	United States
Jeevanandam, V#	Jeevanandam, Valluvan	298	55	The University of Chicago	Chicago	United States
Bektas, S#Maastricht University	Bektas, Sema	5	3	Universiteit Maastricht	Maastricht	Netherlands
Bowen, T S#Norwegian University of Science & Technology	Bowen, Thomas Scott	57	22	University of Leeds	Leeds	United Kingdom
Cazzola, M#IRCCS San Raffaele Pisana	Cazzola, M.	663	60	UniversitÃ  degli Studi di Roma "Tor Vergata"	Rome	Italy
Cheung, M#GlaxoSmithKline	Cheung, Mui H.	37	23	GlaxoSmithKline, USA	Philadelphia	United States
O'Regan, D P#Imperial College London	O'Regan, Declan P.	127	34	Imperial College London	London	United Kingdom
Cornell, R F#Vanderbilt University	Cornell, Robert Frank	73	26	Vanderbilt University Medical Center	Nashville	United States
Girard, P#Hopital Universitaire Europeen Georges-Pompidou - APHP	Girard, Pierre Marie	539	69	HÃ´pital Saint-Antoine	Paris	France
Goss, K N#University of Wisconsin Madison	Goss, Kara N.	44	14	UT Southwestern Medical Center	Dallas	United States
Goudis, C A#	Goudis, Christos Argyrios	34	16	General District Hospital of Serres	Serres	Greece
Grace, M S#Monash University	Grace, Megan S.	44	23	Baker Heart and Diabetes Institute	Melbourne	Australia
Gao, H S#	Gao, Shu	195	42	Nanjing University	Nanjing	China
Hirai, D M#Queens University - Canada	Hirai, Daniel MÃ¼ller	77	23	College of Health and Human Sciences	West Lafayette	United States
Hoshida, S#	Hoshida, Shiro	120	29	Yao Municipal Hospital	Yao	Japan
Houyel, L#Hopital Marie Lannelongue	Houyel, Lucile	127	29	UniversitÃ© Paris CitÃ©	Paris	France
Yamada, T#University of Alabama Birmingham	Yamada, Takumi	233	34	University of Minnesota Twin Cities	Minneapolis	United States
Du, L#University of Louisville	Du, Lei	68	12	West China School of Medicine/West China Hospital of Sichuan University	Chengdu	China
Kolbitsch, C#NIH National Heart Lung & Blood Institute	NA	NA	NA	NA	NA	NA
Turan, A#Etimesgut Said Erturk State Hospital	NA	NA	NA	NA	NA	NA
Oh, B H#Seoul National University	Oh, Byunghee Heeh	276	57	Seoul National University Hospital	Seoul	South Korea
Leischik, R#Witten Herdecke University	Leischik, Roman	76	20	UniversitÃ¤t Witten/Herdecke	Witten	Germany
Wang, X L#Hebei Medical University	Wang, Li	501	66	Jiangnan University	Wuxi	China
Kahn, S R#University of Toronto	Kahn, RenÃ© S.	937	138	Icahn School of Medicine at Mount Sinai	New York	United States
Magnussen, C#German Centre for Cardiovascular Research	Magnussen, Christina	54	15	UniversitÃ¤tsklinikum Hamburg-Eppendorf	Hamburg	Germany
McDermott, J H#Wellcome Trust Sanger Institute	NA	NA	NA	NA	NA	NA
Mikami, T#Hokkaido University	Mikami, Takeshi	622	47	Sapporo Medical University	Sapporo	Japan
Murphy, L A#	Blum-Murphy, Mariela A.	156	30	The University of Texas MD Anderson Cancer Center	Houston	United States
Nagatomo, Y#	Nagatomo, Yuji M.D.	96	19	National Defense Medical College Hospital Tokorozawa	Tokorozawa	Japan
Toh, S T#Singapore General Hospital	Toh, Song Tar	61	14	Singapore General Hospital	Singapore City	Singapore
Nunes, M C P#Universidade Federal de Minas Gerais	Nunes, Maria Carmo Pereira	193	31	Universidade Federal de Minas Gerais	Belo Horizonte	Brazil
Omar, A S#Hamad Medical Corporation	Omar, Amr Salah	54	9	Beni-Suef University	Beni Suef	Egypt
Mendogni, P#University of Milan	Mendogni, Paolo	91	13	Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico	Milan	Italy
Phillips, C T#Harvard Medical School	Phillips, Colin T.	12	4	Beth Israel Deaconess Medical Center	Boston	United States
Podolanczuk, A J#David Geffen School of Medicine at UCLA	NA	NA	NA	NA	NA	NA
Poon, W B#Singapore General Hospital	Poon, Woei Bing	23	9	Singapore General Hospital	Singapore City	Singapore
Rahaghi, F N#National Jewish Health	NA	NA	NA	NA	NA	NA
Santo Signorelli, S#University of Catania	Signorelli, Salvatore Santo	153	32	UniversitÃ  degli Studi di Catania, Department of Clinical and Experimental Medicine	Catania	Italy
Zeller, T#German Centre for Cardiovascular Research	Zeller, Tanja	399	80	Deutsches Zentrum fÃ¼r Herz-Kreislauf-Forschung e. V.	Berlin	Germany
Vandecasteele, E#Ghent University Hospital	Vandecasteele, Els H.	34	17	Universitair Ziekenhuis Gent	Ghent	Belgium
Choudhary, G#Rhode Island Hospital	Choudhary, Gaurav	109	33	The Warren Alpert Medical School	Providence	United States
Guérin, P#Hopital Marie Lannelongue	NA	NA	NA	NA	NA	NA
Lefort, C T#University of Houston	NA	NA	NA	NA	NA	NA
Yamasaki, H#University of Tsukuba	Yamasaki, Hirofumi	177	26	Independent researcher	Tokyo	Japan
Takahashi, Y#Keio University	Takahashi, Yoshikazu	388	39	National Institutes for Quantum Science and Technology	Chiba	Japan
Budts, W#KU Leuven	Budts, Werner I.H.L.	298	58	KU Leuvenâ University Hospital Leuven	Leuven	Belgium
Dinh, Q T#Universitatsklinikum des Saarlandes	Dinh, Quoc Thai	82	31	Lungen- und Bronchialheilkunde	Rathenow	Germany
Aaron, C P#Columbia University	Aaron, Carrie Pistenmaa	17	13	Brigham and Women's Hospital	Boston	United States
Liu, B#Air Force Military Medical University	Liu, Bing	238	41	Air Force Medical Center of PLA	Beijing	China
Bates, M L#University of Wisconsin Madison	Bates, Melissa Lowe	54	15	University of Iowa	Iowa City	United States
Tuan, T C#University of Birmingham	Tuan, Tachuan	253	51	National Yang-Ming University Taiwan	Taipei	Taiwan
Charles, P G P#Austin Research Institute	Charles, Patrick G.P.	67	21	Austin Health	Melbourne	Australia
Freitag, D F#Wellcome Trust Sanger Institute	Freitag, Daniel F.	33	25	Bayer Pharma AG	Berlin	Germany
Ponganis, P J#Moss Landing Marine Laboratories	NA	NA	NA	NA	NA	NA
Lazzerini, P E#University of Siena	Lazzerini, Pietro Enea	150	37	UniversitÃ  degli Studi di Siena	Siena	Italy
Sekarski, N#Centre Hospitalier Universitaire Vaudois	Sekarski, Nicole	93	20	Centre Hospitalier Universitaire Vaudois	Lausanne	Switzerland
Lai, Y Q#Capital Medical University	Lai, Yongqiang	64	13	Beijing Anzhen Hospital, Capital Medical University	Beijing	China
de Groot, J R#Academic Medical Center Amsterdam	de Groot, Joris R.	232	42	Amsterdam UMC - University of Amsterdam	Amsterdam	Netherlands
Guazzi, M#Vrije Universiteit Brussel	NA	NA	NA	NA	NA	NA
Acharya, J#University of Southern California	Acharya, Jayant N.	40	18	Penn State Health Milton S. Hershey Medical Center	Hershey	United States
Amin, Z#University of Indonesia	Amin, Zulkifli	28	7	Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo	Central Jakarta	Indonesia
Carlsen, J#Rigshospitalet	Carlsen, JÃ¸rn	89	29	Det Sundhedsvidenskabelige Fakultet	Copenhagen	Denmark
Ventetuolo, C E#Brown University	Ventetuolo, Corey E.	109	24	The Warren Alpert Medical School	Providence	United States
Boukantar, M#Hopital Universitaire Henri-Mondor - APHP	NA	NA	NA	NA	NA	NA
Ostrowski, L E#University of North Carolina Chapel Hill	Ostrowski, Lawrence E.	81	35	UNC School of Medicine	Chapel Hill	United States
Carter, G S#University of Texas Southwestern Medical Center Dallas	Carter, Gregory S.	12	4	VA North Texas Health Care System	Dallas	United States
Wang, Q X#Zhejiang University	Wang, Qingguo	466	64	University of Johannesburg	Johannesburg	South Africa
Stout-Delgado, H W#Brown University	NA	NA	NA	NA	NA	NA
