Mol ID	Molecule name	Molecule name.link	MW	AlogP	HDon	HAcc	OB (%)	Caco-2	BBB	DL	FASA-	HL
MOL004322	hexadec-3-enoic acid	https://tcmsp-e.com/molecule.php?qn=4322	254.46	5.92	1	2	35.81	1.12	1.09	0.10	0.22	5.93
MOL004323	3-octadecenoic acid	https://tcmsp-e.com/molecule.php?qn=4323	282.52	6.84	1	2	33.00	1.17	1.08	0.14	0.22	5.53
MOL004324	4,5-Epoxy-12-acetoxy-7a,11a-dihydrogermacradien-8-one	https://tcmsp-e.com/molecule.php?qn=4324	292.41	1.72	0	4	5.00	0.61	0.38	0.19	0.26	
MOL004325	4,5-Epoxy-12-hydroxy-1(10),7(11)-germacradien-8-one	https://tcmsp-e.com/molecule.php?qn=4325	250.37	2.00	1	3	24.34	0.50	0.42	0.13	0.28	
MOL004326	4-Epi-curcumenol	https://tcmsp-e.com/molecule.php?qn=4326	234.37	3.27	1	2	89.38	1.06	1.16	0.13	0.27	9.08
MOL004327	(1S,6R,7R)-7-[(3S)-3-hydroxybutyl]-4-isopropylidene-1-methyl-3-norcaranone	https://tcmsp-e.com/molecule.php?qn=4327	236.39	2.70	1	2	64.35	0.76	0.41	0.11	0.26	5.31
MOL004328	naringenin	https://tcmsp-e.com/molecule.php?qn=4328	272.27	2.30	3	5	59.29	0.28	-0.37	0.21	0.40	16.98
MOL004329	6-methyl-7-(3-oxobutyl)-bicyclo[4,1,0]heptan-3-one	https://tcmsp-e.com/molecule.php?qn=4329	194.30	0.90	0	2	24.90	0.73	0.50	0.08	0.28	
MOL004330	8-Hydroxycadalene	https://tcmsp-e.com/molecule.php?qn=4330	214.33	4.64	1	1	21.46	1.76	1.65	0.09	0.34	
MOL004331	a Atlantone	https://tcmsp-e.com/molecule.php?qn=4331	218.37	4.13	0	1	49.86	1.44	1.57	0.07	0.28	6.43
MOL004332	(1E,4E)-1-(4-Hydroxy-3-methoxyphenyl)-5-(4-hydroxyphenyl)-1,4-pentadien-3-one	https://tcmsp-e.com/molecule.php?qn=4332	296.34	3.47	2	4	3.96	0.74	0.24	0.23	0.37	
MOL004333	ar-turmerone	https://tcmsp-e.com/molecule.php?qn=4333	216.35	4.20	0	1	60.86	1.51	1.60	0.07	0.32	5.16
MOL004334	a-Selinene	https://tcmsp-e.com/molecule.php?qn=4334	204.39	4.75	0	0	16.38	1.84	2.08	0.08	0.28	
MOL004335	(6S)-2-methyl-6-[(1R)-4-methyl-1-cyclohexa-2,4-dienyl]hept-2-en-4-one	https://tcmsp-e.com/molecule.php?qn=4335	218.37	3.94	0	1	47.54	1.53	1.67	0.07	0.29	5.93
MOL004336	6-methyl-2-[(1R)-4-methyl-1-cyclohex-3-enyl]hepta-1,5-dien-4-one	https://tcmsp-e.com/molecule.php?qn=4336	218.37	4.19	0	1	41.55	1.48	1.54	0.07	0.31	4.77
MOL004337	b-Elemenone	https://tcmsp-e.com/molecule.php?qn=4337	218.37	3.79	0	1	28.12	1.44	1.56	0.07	0.33	
MOL004338	(6S)-6-[(1R,4R,5S)-4,5-dihydroxy-4-methyl-1-cyclohex-2-enyl]-2-methylhept-2-en-4-one	https://tcmsp-e.com/molecule.php?qn=4338	252.39	2.07	2	3	39.42	0.31	0.15	0.10	0.29	3.33
MOL004339	(6S)-6-[(1R,4S,5R)-4,5-dihydroxy-4-methyl-1-cyclohex-2-enyl]-2-methylhept-2-en-4-one	https://tcmsp-e.com/molecule.php?qn=4339	252.39	2.07	2	3	41.04	0.50	0.21	0.10	0.29	3.22
MOL004340	(6S)-6-[(1R,4R,5R)-4,5-dihydroxy-4-methyl-1-cyclohex-2-enyl]-2-methylhept-2-en-4-one	https://tcmsp-e.com/molecule.php?qn=4340	252.39	2.07	2	3	45.72	0.22	-0.14	0.10	0.28	2.96
MOL004341	Cadalenequinone	https://tcmsp-e.com/molecule.php?qn=4341	226.29	3.13	0	2	28.83	0.87	0.50	0.11	0.40	
MOL004342	calarenepoxide	https://tcmsp-e.com/molecule.php?qn=4342	220.39	3.09	0	1	70.64	1.60	1.95	0.16	0.23	-1.17
MOL004343	Calebin-A	https://tcmsp-e.com/molecule.php?qn=4343	384.41	3.37	2	7	4.33	0.27	-0.76	0.47	0.35	
MOL004344	caryophyllene oxide	https://tcmsp-e.com/molecule.php?qn=4344	220.39	3.52	0	1	33.24	1.55	1.79	0.13	0.27	6.46
MOL004345	1-methyl-2-nonacosyl-4-quinolone	https://tcmsp-e.com/molecule.php?qn=4345	566.07	14.92	0	2	31.54	1.48	0.82	0.50	0.23	16.13
MOL004346	16'-Decarbomethoxy-19,20-dihydroconoduramine	https://tcmsp-e.com/molecule.php?qn=4346	650.99	7.18	2	6	38.77	1.17	0.14	0.05	0.23	42.88
MOL004347	Laurifoline	https://tcmsp-e.com/molecule.php?qn=4347	342.45	3.12	2	4	22.96	0.95	0.50	0.55	0.15	
MOL004348	Abiol	https://tcmsp-e.com/molecule.php?qn=4348	152.16	1.42	1	3	5.94	0.70	0.55	0.03	0.39	
MOL004349	Ruvoside	https://tcmsp-e.com/molecule.php?qn=4349	550.76	1.84	4	9	18.13	-0.92	-1.68	0.63	0.22	
MOL004350	Ruvoside_qt	https://tcmsp-e.com/molecule.php?qn=4350	390.57	2.29	3	5	36.12	-0.31	-1.13	0.76	0.24	7.21
MOL004351	C09747	https://tcmsp-e.com/molecule.php?qn=4351	296.35	-1.28	3	6	37.28	-0.73	-1.16	0.25	0.26	0.72
MOL004352	brassicasterol	https://tcmsp-e.com/molecule.php?qn=4352	398.74	7.18	1	1	14.09	1.32	0.85	0.72	0.23	
MOL004353	quercetin-3-O-β-D-galactoside-7-O-β-D-glucoside	https://tcmsp-e.com/molecule.php?qn=4353	626.57	-2.49	11	17	5.86	-2.91	-4.07	0.67	0.31	
MOL004354	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3R,4S,5R)-3,4,5-trihydroxytetrahydropyran-2-yl]oxy-chromone	https://tcmsp-e.com/molecule.php?qn=4354	434.38	-0.08	7	11	1.68	-1.24	-1.78	0.70	0.33	
MOL004355	Spinasterol	https://tcmsp-e.com/molecule.php?qn=4355	412.77	7.64	1	1	42.98	1.44	1.04	0.76	0.21	5.32
MOL004356	KAEMPFEROL 3-O-GLUCORHAMNOSIDE	https://tcmsp-e.com/molecule.php?qn=4356	432.41	0.57	6	10	2.69	-0.72	-1.45	0.70	0.36	
MOL004358	linalool	https://tcmsp-e.com/molecule.php?qn=4358	140.25	2.28	1	1	58.18	1.29	1.35	0.02	0.33	11.22
MOL004359	Houttuynin	https://tcmsp-e.com/molecule.php?qn=4359	198.34	3.45	0	2	36.04	0.88	0.66	0.04	0.21	5.60
MOL004361	CIS-10,TRANS-12-CONJUGATEDLINOLEICACID	https://tcmsp-e.com/molecule.php?qn=4361	250.52	7.69	0	0	4.42	1.92	1.88	0.09	0.21	
MOL004362	Afzelin	https://tcmsp-e.com/molecule.php?qn=4362	432.41	0.57	6	10	3.83	-0.77	-1.76	0.70	0.34	
MOL004363	(Z)-heptadec-3-ene	https://tcmsp-e.com/molecule.php?qn=4363	238.51	7.68	0	0	20.24	1.84	1.99	0.08	0.00	
MOL004364	3,5-Dimethoxytoluene	https://tcmsp-e.com/molecule.php?qn=4364	152.21	2.28	0	2	20.87	1.52	1.49	0.03	0.00	
MOL004365	Isomenthol	https://tcmsp-e.com/molecule.php?qn=4365	156.30	2.78	1	1	55.30	1.35	1.63	0.03	0.00	10.88
MOL004366	Octyl formate	https://tcmsp-e.com/molecule.php?qn=4366	158.27	3.13	0	2	53.32	1.19	1.24	0.02	0.00	6.99
MOL004367	olivil	https://tcmsp-e.com/molecule.php?qn=4367	376.44	1.68	4	7	62.23	-0.16	-0.75	0.41	0.00	2.27
MOL004368	Hyperin	https://tcmsp-e.com/molecule.php?qn=4368	464.41	-0.59	8	12	6.94	-1.42	-2.08	0.77	0.00	
MOL004369	quercetin-3-rhamnooside	https://tcmsp-e.com/molecule.php?qn=4369	448.41	0.30	7	11	2.61	-1.12	-1.83	0.74	0.00	
MOL004370	Robinetin	https://tcmsp-e.com/molecule.php?qn=4370	302.25	1.50	5	7	6.35	-0.13	-0.79	0.28	0.00	
MOL004371	rouhuoside	https://tcmsp-e.com/molecule.php?qn=4371	824.86	-1.23	12	20	3.62	-3.58	-4.81	0.31	0.00	
MOL004372	Sagittatoside A	https://tcmsp-e.com/molecule.php?qn=4372	676.73	0.93	8	15	8.50	-1.56	-2.32	0.57	0.00	
MOL004373	Anhydroicaritin	https://tcmsp-e.com/molecule.php?qn=4373	368.41	3.88	3	6	45.41	0.72	0.01	0.44	0.00	15.01
MOL004374	sagittatoside B	https://tcmsp-e.com/molecule.php?qn=4374	646.70	1.44	7	14	5.58	-1.18	-2.16	0.64	0.00	
MOL004375	Trifolin	https://tcmsp-e.com/molecule.php?qn=4375	448.41	-0.32	7	11	3.10	-1.17	-1.85	0.74	0.00	
MOL004376	wanepimedoside A	https://tcmsp-e.com/molecule.php?qn=4376	678.75	0.72	8	15	6.54	-1.57	-2.45	0.58	0.00	
MOL004377	wanepimedoside_qt	https://tcmsp-e.com/molecule.php?qn=4377	386.43	2.78	4	7	6.03	0.22	-0.62	0.48	0.00	
MOL004378	Wushanicariin	https://tcmsp-e.com/molecule.php?qn=4378	530.57	2.27	6	11	5.49	-1.11	-2.17	0.86	0.00	
MOL004379	wushanicariin_qt	https://tcmsp-e.com/molecule.php?qn=4379	368.41	4.18	3	6	23.36	0.56	-0.36	0.46	0.00	
MOL004380	C-Homoerythrinan, 1,6-didehydro-3,15,16-trimethoxy-, (3.beta.)-	https://tcmsp-e.com/molecule.php?qn=4380	329.48	2.89	0	4	39.14	1.02	0.68	0.49	0.00	6.58
MOL004381	Besigomsin	https://tcmsp-e.com/molecule.php?qn=4381	416.51	3.85	1	7	28.52	0.63	0.25	0.78	0.00	
MOL004382	Yinyanghuo A	https://tcmsp-e.com/molecule.php?qn=4382	420.49	4.20	3	6	56.96	0.38	-0.49	0.77	0.00	14.44
MOL004383	Yinyanghuo B	https://tcmsp-e.com/molecule.php?qn=4383	422.51	5.00	4	6	1.07	0.24	-1.14	0.60	0.00	
MOL004384	Yinyanghuo C	https://tcmsp-e.com/molecule.php?qn=4384	336.36	3.39	2	5	45.67	0.75	-0.11	0.50	0.00	15.74
MOL004385	Yinyanghuo D	https://tcmsp-e.com/molecule.php?qn=4385	338.38	4.19	3	5	13.99	0.61	-0.53	0.38	0.00	
MOL004386	Yinyanghuo E	https://tcmsp-e.com/molecule.php?qn=4386	352.36	3.12	3	6	51.63	0.51	-0.54	0.55	0.00	15.47
MOL004387	Yixinoside A	https://tcmsp-e.com/molecule.php?qn=4387	1,107.49	-0.11	14	22	6.13	-4.09	-5.42	0.04	0.00	
MOL004388	6-hydroxy-11,12-dimethoxy-2,2-dimethyl-1,8-dioxo-2,3,4,8-tetrahydro-1H-isochromeno[3,4-h]isoquinolin-2-ium	https://tcmsp-e.com/molecule.php?qn=4388	370.41	2.75	1	6	60.64	0.34	-0.12	0.66	0.00	1.22
MOL004389	3-Hexenyl-beta-glucopyranoside	https://tcmsp-e.com/molecule.php?qn=4389	262.34	-0.31	4	6	12.12	-0.57	-0.79	0.11	0.00	
MOL004390	5,7,4'-trihydroxy8,3'-diprenylflavone	https://tcmsp-e.com/molecule.php?qn=4390	406.51	6.05	3	5	1.02	0.93	-0.16	0.59	0.00	
MOL004391	8-(3-methylbut-2-enyl)-2-phenyl-chromone	https://tcmsp-e.com/molecule.php?qn=4391	290.38	4.99	0	2	48.54	1.53	0.99	0.25	0.00	18.73
MOL004392	acuminatoside	https://tcmsp-e.com/molecule.php?qn=4392	985.05	-1.83	13	24	3.01	-4.04	-5.25	0.15	0.00	
MOL004393	anhydroicaritin	https://tcmsp-e.com/molecule.php?qn=4393	368.41	3.39	2	6	28.27	0.77	0.03	0.59	0.00	
MOL004394	Anhydroicaritin-3-O-alpha-L-rhamnoside	https://tcmsp-e.com/molecule.php?qn=4394	676.73	0.77	8	15	41.58	-1.59	-2.89	0.61	0.00	16.23
MOL004395	artonin U	https://tcmsp-e.com/molecule.php?qn=4395	352.41	4.44	2	5	19.33	0.86	0.22	0.39	0.00	
MOL004396	1,2-bis(4-hydroxy-3-methoxyphenyl)propan-1,3-diol	https://tcmsp-e.com/molecule.php?qn=4396	320.37	1.69	4	6	52.31	0.00	-0.87	0.22	0.00	2.18
MOL004397	baohuoside Ⅵ	https://tcmsp-e.com/molecule.php?qn=4397	822.89	-0.09	10	19	6.06	-3.06	-3.87	0.32	0.00	
MOL004398	3,5,7-Trihydroxy-4'-methoxyl-8-prenylflavone-3-O-rhamnopyranoside	https://tcmsp-e.com/molecule.php?qn=4398	514.57	2.68	5	10	3.70	-0.55	-1.24	0.84	0.00	
MOL004399	Baohuoside VI	https://tcmsp-e.com/molecule.php?qn=4399	822.89	-0.09	10	19	4.94	-2.92	-3.89	0.31	0.00	
MOL004400	Bilobanol	https://tcmsp-e.com/molecule.php?qn=4400	234.37	3.55	1	2	14.22	1.16	0.96	0.09	0.00	
MOL004401	bilobetin	https://tcmsp-e.com/molecule.php?qn=4401	552.51	4.61	5	10	7.27	-0.14	-1.83	0.63	0.00	
MOL004402	brevicornin	https://tcmsp-e.com/molecule.php?qn=4402	400.46	3.19	3	7	14.09	0.42	-0.10	0.52	0.00	
MOL004403	caohuoside B	https://tcmsp-e.com/molecule.php?qn=4403	965.01	0.16	8	23	3.02	-2.94	-3.73	0.19	0.00	
MOL004404	caohuoside D	https://tcmsp-e.com/molecule.php?qn=4404	562.62	1.28	6	12	24.89	-1.02	-2.07	0.83	0.00	
MOL004405	3-[(2S,3R,4R,5R,6S)-4,5-dihydroxy-6-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxy-5-hydroxy-2-(4-methoxyphenyl)-8-(3-methylbut-2-enyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methylol-tetrahydropyran	https://tcmsp-e.com/molecule.php?qn=4405	822.89	-0.09	10	19	6.06	-2.64	-3.91	0.32	0.00	
MOL004406	2,15-Hexadecanedione	https://tcmsp-e.com/molecule.php?qn=4406	254.46	4.12	0	2	8.15	0.88	0.38	0.10	0.00	
MOL004407	Epimedin B	https://tcmsp-e.com/molecule.php?qn=4407	792.86	-0.20	9	18	8.65	-2.89	-3.91	0.34	0.00	
MOL004408	Epimedin C_qt	https://tcmsp-e.com/molecule.php?qn=4408	352.41	4.15	2	5	5.87	0.82	-0.06	0.40	0.00	
MOL004409	Epimedin C	https://tcmsp-e.com/molecule.php?qn=4409	790.89	0.75	8	17	16.29	-2.50	-3.48	0.34	0.00	
MOL004410	epimedokoreanone A	https://tcmsp-e.com/molecule.php?qn=4410	142.12	-0.29	2	4	59.85	0.30	0.11	0.03	0.00	11.79
MOL004411	(2S,3S)-3,5-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methylol-tetrahydropyran-2-yl]oxy-chroman-4-one	https://tcmsp-e.com/molecule.php?qn=4411	518.56	1.70	7	11	3.58	-1.39	-2.36	0.84	0.00	
MOL004413	epimedoside C	https://tcmsp-e.com/molecule.php?qn=4413	516.54	1.72	7	11	2.67	-0.96	-2.04	0.84	0.00	
MOL004414	epimedoside D	https://tcmsp-e.com/molecule.php?qn=4414	794.83	-0.71	11	19	5.49	-2.71	-3.82	0.34	0.00	
MOL004415	Epimedoside E	https://tcmsp-e.com/molecule.php?qn=4415	794.83	-0.71	11	19	5.49	-3.15	-4.05	0.35	0.00	
MOL004417	epimedoside	https://tcmsp-e.com/molecule.php?qn=4417	760.81	1.69	6	17	14.32	-1.40	-2.34	0.41	0.00	
MOL004418	DOB	https://tcmsp-e.com/molecule.php?qn=4418	154.13	0.90	3	4	88.18	0.26	0.01	0.04	0.00	11.88
MOL004419	globulol	https://tcmsp-e.com/molecule.php?qn=4419	222.41	3.20	1	1	19.94	1.31	1.43	0.12	0.00	
MOL004420	Hentriacontanol-6	https://tcmsp-e.com/molecule.php?qn=4420	452.95	13.28	1	1	11.06	1.33	0.68	0.54	0.00	
MOL004421	hexandraside D	https://tcmsp-e.com/molecule.php?qn=4421	822.89	-0.09	10	19	5.44	-2.56	-3.52	0.32	0.00	
MOL004422	Hexandraside E	https://tcmsp-e.com/molecule.php?qn=4422	678.70	-0.37	10	16	13.56	-2.30	-3.47	0.60	0.00	
MOL004423	hexandraside F	https://tcmsp-e.com/molecule.php?qn=4423	838.89	-0.97	11	20	3.67	-3.37	-4.36	0.30	0.00	
MOL004424	Icaride A2	https://tcmsp-e.com/molecule.php?qn=4424	436.50	1.33	4	9	4.76	-0.19	-1.28	0.54	0.00	
MOL004425	Icariin	https://tcmsp-e.com/molecule.php?qn=4425	676.73	0.77	8	15	41.58	-1.82	-3.00	0.61	0.00	19.93
MOL004426	Icariresinol	https://tcmsp-e.com/molecule.php?qn=4426	433.47	0.46	4	9	7.13	-0.53	-1.17	0.53	0.01	
MOL004427	Icariside A7	https://tcmsp-e.com/molecule.php?qn=4427	462.49	1.16	5	10	31.91	-0.65	-1.56	0.86	0.00	2.84
MOL004428	3,4,6-trimethoxyphenanthrene-2,7-diol	https://tcmsp-e.com/molecule.php?qn=4428	300.33	3.06	2	5	24.46	0.92	0.21	0.30	0.00	
MOL004429	icariside C1	https://tcmsp-e.com/molecule.php?qn=4429	418.59	0.75	6	8	5.12	-1.11	-1.87	0.37	0.00	
MOL004430	icariside I	https://tcmsp-e.com/molecule.php?qn=4430	530.57	1.97	6	11	21.88	-0.93	-1.79	0.85	0.00	
MOL004431	icariside II	https://tcmsp-e.com/molecule.php?qn=4431	514.57	2.68	5	10	3.70	-0.21	-0.91	0.84	0.00	
MOL004432	4H-1-Benzopyran-4-one, 3-((6-deoxy-alpha-L-mennopyranosyl)oxy)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methyl-2-butenyl)-	https://tcmsp-e.com/molecule.php?qn=4432	500.54	2.42	6	10	4.75	-0.70	-1.39	0.82	0.00	
MOL004433	3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-methylol-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)chromone	https://tcmsp-e.com/molecule.php?qn=4433	662.70	0.68	9	15	2.93	-2.08	-3.02	0.61	0.00	
MOL004434	Ikarisoside C	https://tcmsp-e.com/molecule.php?qn=4434	822.89	-1.01	12	19	4.96	-3.58	-4.36	0.31	0.00	
MOL004435	Ikarisoside F	https://tcmsp-e.com/molecule.php?qn=4435	632.67	1.19	8	14	1.95	-1.83	-2.70	0.67	0.00	
MOL004436	Ikshusterol	https://tcmsp-e.com/molecule.php?qn=4436	430.79	7.05	2	2	9.00	0.88	0.26	0.79	0.00	
MOL004437	Lespedin	https://tcmsp-e.com/molecule.php?qn=4437	578.57	-0.45	8	14	7.97	-1.98	-3.08	0.79	0.00	
MOL004438	korepimedoside A	https://tcmsp-e.com/molecule.php?qn=4438	748.80	2.18	6	17	14.93	-1.74	-2.30	0.44	0.00	
MOL004439	korepimedoside B	https://tcmsp-e.com/molecule.php?qn=4439	965.01	0.16	8	23	3.02	-2.76	-3.90	0.19	0.00	
MOL004440	Peimisine	https://tcmsp-e.com/molecule.php?qn=4440	427.69	3.16	2	4	57.40	0.18	-0.45	0.81	0.23	14.39
MOL004442	Pelargonidin-3,5-diglucoside	https://tcmsp-e.com/molecule.php?qn=4442	595.58	-1.79	10	15	10.96	-2.87	-3.89	0.76	0.29	
MOL004443	Zhebeiresinol	https://tcmsp-e.com/molecule.php?qn=4443	280.30	0.83	1	6	58.72	0.53	0.06	0.19	0.23	3.32
MOL004444	Ziebeimine	https://tcmsp-e.com/molecule.php?qn=4444	413.71	4.42	2	3	64.25	0.81	0.20	0.70	0.17	7.81
MOL004445	Verticine	https://tcmsp-e.com/molecule.php?qn=4445	431.73	3.40	3	4	17.42	0.05	-0.68	0.67	0.19	
MOL004446	6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside	https://tcmsp-e.com/molecule.php?qn=4446	422.42	-0.43	4	10	33.31	-1.21	-1.67	0.57	0.30	31.01
MOL004447	6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside_qt	https://tcmsp-e.com/molecule.php?qn=4447	260.26	1.47	1	5	19.87	0.10	-0.51	0.15	0.37	
MOL004448	Solatubin	https://tcmsp-e.com/molecule.php?qn=4448	397.71	5.27	1	2	17.12	1.22	0.94	0.76	0.19	
MOL004449	OSI-2040	https://tcmsp-e.com/molecule.php?qn=4449	623.88	4.46	3	10	14.65	0.13	-0.70	0.61	0.23	
MOL004450	Chaksine	https://tcmsp-e.com/molecule.php?qn=4450	450.66	2.26	6	10	65.63	-0.01	-0.88	0.66	0.18	0.58
MOL004451	Peiminine	https://tcmsp-e.com/molecule.php?qn=4451	429.71	3.21	2	4	13.20	0.23	-0.51	0.67	0.19	
MOL004452	Peiminoside	https://tcmsp-e.com/molecule.php?qn=4452	593.89	1.65	6	9	2.25	-1.14	-1.97	0.21	0.17	
MOL004453	Peiminoside_qt	https://tcmsp-e.com/molecule.php?qn=4453	431.73	3.40	3	4	11.75	0.18	-0.83	0.67	0.18	
MOL004454	ODD	https://tcmsp-e.com/molecule.php?qn=4454	280.50	6.39	1	2	41.70	1.22	1.09	0.14	0.21	8.15
MOL004455	p-Allyltoluene	https://tcmsp-e.com/molecule.php?qn=4455	132.22	3.32	0	0	36.40	1.87	2.02	0.02	0.41	-2.57
MOL004456	Esculin	https://tcmsp-e.com/molecule.php?qn=4456	340.31	-0.54	5	9	20.43	-1.18	-1.81	0.36	0.27	
MOL004457	trans-10, cis-12 octadecadienoic acid, methyl ester	https://tcmsp-e.com/molecule.php?qn=4457	294.53	6.64	0	2	41.69	1.43	1.13	0.17	0.20	5.94
MOL004458	Isophytol	https://tcmsp-e.com/molecule.php?qn=4458	296.60	7.14	1	1	7.20	1.40	1.12	0.13	0.23	
MOL004459	Tridecanol	https://tcmsp-e.com/molecule.php?qn=4459	200.41	5.08	1	1	15.18	1.25	1.05	0.04	0.00	
MOL004460	PHYTANTRIOL	https://tcmsp-e.com/molecule.php?qn=4460	330.62	5.47	3	3	23.20	0.34	-0.20	0.18	0.20	
MOL004461	(2R,6R)-2,6-dimethylcyclohexan-1-ol	https://tcmsp-e.com/molecule.php?qn=4461	128.24	2.14	1	1	80.30	1.21	1.42	0.02	0.21	11.04
MOL004462	Otan	https://tcmsp-e.com/molecule.php?qn=4462	90.09	-1.16	2	3	58.60	-0.56	-1.04	0.01	0.29	11.79
MOL004463	1-[(2S)-oxolan-2-yl]ethanone	https://tcmsp-e.com/molecule.php?qn=4463	114.16	0.20	0	2	31.28	0.87	1.05	0.01	0.27	11.24
MOL004464	MEHQ	https://tcmsp-e.com/molecule.php?qn=4464	124.15	1.55	1	2	43.98	1.27	1.33	0.02	0.32	11.69
MOL004465	N-Methylphenethylamine	https://tcmsp-e.com/molecule.php?qn=4465	135.23	1.69	1	1	18.44	1.61	1.77	0.02	0.35	
MOL004466	Sympamin	https://tcmsp-e.com/molecule.php?qn=4466	135.23	1.64	2	1	44.85	1.21	1.14	0.02	0.34	-2.48
MOL004467	Levamfetamine	https://tcmsp-e.com/molecule.php?qn=4467	135.23	1.64	2	1	44.32	1.18	1.07	0.02	0.34	-2.51
MOL004468	(2R)-butan-2-amine	https://tcmsp-e.com/molecule.php?qn=4468	73.16	0.60	2	1	59.08	1.08	1.26	0.00	0.21	11.24
MOL004469	N-Methylvalerolactam	https://tcmsp-e.com/molecule.php?qn=4469	113.18	0.29	0	2	82.45	1.30	1.61	0.02	0.15	11.18
MOL004470	PPI	https://tcmsp-e.com/molecule.php?qn=4470	74.09	0.44	1	2	93.06	0.60	0.89	0.00	0.31	11.81
MOL004471	Methyl propylate	https://tcmsp-e.com/molecule.php?qn=4471	88.12	0.69	0	2	69.05	1.08	1.38	0.00	0.21	11.66
MOL004472	Azeton	https://tcmsp-e.com/molecule.php?qn=4472	58.09	-0.24	0	1	51.37	1.09	1.59	0.00	0.39	11.98
MOL004473	2-(p-Tolyl)ethylamine	https://tcmsp-e.com/molecule.php?qn=4473	135.23	1.74	2	1	21.25	1.17	0.95	0.02	0.32	
MOL004474	Maruzen M	https://tcmsp-e.com/molecule.php?qn=4474	122.18	2.51	1	1	48.44	1.57	1.81	0.02	0.37	11.63
MOL004475	DIBUTYLAMINE	https://tcmsp-e.com/molecule.php?qn=4475	129.28	2.44	1	1	18.55	1.49	1.70	0.01	0.19	
MOL004476	Methyl formyl	https://tcmsp-e.com/molecule.php?qn=4476	90.14	0.08	0	2	30.34	1.08	1.17	0.00	0.14	11.45
MOL004477	OME	https://tcmsp-e.com/molecule.php?qn=4477	32.05	-0.36	1	1	52.48	0.62	0.31	0.00	0.16	12.48
MOL004478	2-Oxobutanol	https://tcmsp-e.com/molecule.php?qn=4478	88.12	-0.04	1	2	63.80	0.32	0.32	0.00	0.29	11.59
MOL004479	o-cresol	https://tcmsp-e.com/molecule.php?qn=4479	108.15	2.05	1	1	62.45	1.57	1.90	0.02	0.40	11.96
MOL004480	acetic acid	https://tcmsp-e.com/molecule.php?qn=4480	60.06	-0.23	1	2	47.87	0.42	0.72	0.00	0.29	12.21
MOL004481	(2S)-2-amino-3-[(2R)-2-amino-3-hydroxy-3-oxopropyl]disulfanylpropanoic acid	https://tcmsp-e.com/molecule.php?qn=4481	240.34	-0.88	6	6	73.59	-1.23	-2.05	0.05	0.40	3.08
MOL004482	Acetol	https://tcmsp-e.com/molecule.php?qn=4482	74.09	-0.70	1	2	53.93	0.19	0.13	0.00	0.33	11.89
MOL004483	CREOSOL	https://tcmsp-e.com/molecule.php?qn=4483	138.18	2.03	1	2	50.91	1.33	1.43	0.03	0.30	11.70
MOL004484	(2S)-heptan-2-amine	https://tcmsp-e.com/molecule.php?qn=4484	115.25	1.97	2	1	46.44	1.20	1.26	0.01	0.20	10.58
MOL004485	3,3-Dimethylbutylamine	https://tcmsp-e.com/molecule.php?qn=4485	101.22	1.14	2	1	56.61	1.04	1.03	0.01	0.22	11.04
MOL004486	(25R,S)-5alpha-Spirostane-2alpha,3beta-diol 3-O-[O-beta-D-glucopyranosyl-(1-2)-O-beta-D-glucopyranosyl-(1-4)-beta-D-galactopyranoside]	https://tcmsp-e.com/molecule.php?qn=4486	919.19	-1.32	11	19	5.44	-2.84	-3.74	0.03	0.20	
MOL004487	gitogenin	https://tcmsp-e.com/molecule.php?qn=4487	432.71	3.92	2	4	16.13	0.40	-0.17	0.79	0.19	
MOL004488	Anemarsaponin F	https://tcmsp-e.com/molecule.php?qn=4488	1,051.32	-2.56	13	23	9.20	-4.02	-4.72	0.02	0.22	
MOL004489	Anemarsaponin F_qt	https://tcmsp-e.com/molecule.php?qn=4489	432.71	3.92	2	4	60.06	0.43	-0.33	0.79	0.18	4.61
MOL004490	Anemarsaponin G	https://tcmsp-e.com/molecule.php?qn=4490	1,049.30	-2.81	13	23	9.71	-3.96	-4.93	0.02	0.21	
MOL004491	Anemarsaponin G_qt	https://tcmsp-e.com/molecule.php?qn=4491	430.69	3.67	2	4	16.88	0.23	-0.49	0.79	0.22	
MOL004492	Chrysanthemaxanthin	https://tcmsp-e.com/molecule.php?qn=4492	584.96	8.24	2	3	38.72	0.51	-0.98	0.58	0.30	17.47
